ID,制造企业,英文描述,税号,品名,申报要素,备注
1,,AWH-3,8205510000,锥子,0|2|家用|合金钢制|非成套|无品牌|无型号,
2,,POLISHING MACHINE,8460390000,整磨机,0|0|磨削钢丝|手动|无品牌|无型号|非中韩自贸协定项下进口数控机床,
3,,NEEDLE HOLDER,3926909090,针板,0|2|用于放入缝纫针|塑料|无品牌|无型号,
4,,MACHINE OF STRAIGHTING STEEL,8462291000,硬矫直机,0|0|钢丝矫直|矫直|手动|无品牌|无型号|非中韩自贸协定项下进口数控机床,
5,,SLOTTING & GRINDING MACHINE,8460390000,铣槽机,0|0|切�磨削钢丝|手动|无品牌|无型号|非中韩自贸协定项下进口数控机床,
6,,MESH BAG,5608190000,网袋,0|2|包附件用|100%PE,
7,BON-FUN,BOBBIN,8452901100,缝纫机锁芯,0|2|适用于BT005等家用缝纫机|无品牌|无型号,
8,,PLASTIC BOX,3926909090,塑料盒,0|2|用于放入缝纫针|塑料|无品牌|无型号,
9,,BRUSH,9603909090,刷子,0|2|刷灰用|尼龙+塑料,
10,,ARRANGEMENT NEEDLES,8474100000,筛针机,0|0|针类产品整理|无品牌|无型号,原hs：8462211000
11,BON-FUN,OILER,3403190000,润滑�,0|2|缝纫机润滑用|烷烃和环烷烃混合物69%�锈剂12%抗氧化剂19%|69%|无品牌|无型号,
12,,HEATING EQUIPMENTS,8419899090,热处理机,0|0|针类产品增加硬度|无品牌|无型号,
13,,CUTTING MACHINE,8460390000,切磨机,0|0|切�磨削钢丝|手动|无品牌|无型号|非中韩自贸协定项下进口数控机床,
14,BON-FUN,SCREW DRIVER,8205510000,起子,0|2|家用缝纫机用|Q195号钢和塑料|非成套|无品牌|无型号,
15,,TWEEZER,8203200090,镊子,0|2|夹小配件用|不锈钢|无品牌|无型号,
16,,SEPARATE THE WOOD AND NEEDLE,8486104000,木屑分离机,0|0|去�抛光|抛光压|无品牌|无型号,
17,,GRINDING MACHINE FOR NEEDLE TOP,8460390000,磨尖机,0|0|钢丝磨尖|手动|无品牌|无型号|非中韩自贸协定项下进口数控机床,
18,,MACHINE FOR CLEANING OIL,8486104000,滚筒除�机,0|0|去�抛光|抛光压|无品牌|无型号,
19,,GRINDING MACHINE,8460909000,滚刻机,0|0|在钢丝产品上刻|无品牌|无型号,
20,,STEEL WIRE,7217100000,钢丝,无品牌|无|丝|非合金钢|无涂层|0.7%碳99.1%铁|无涂层|卷,
21,,SEPARATE THE STEEL BALL AND NEEDLE,8486104000,钢球分离机,0|0|去�抛光|抛光压|无品牌|无型号,
22,BON-FUN,NEEDLE PAPER,7607200000,缝纫机针包纸,0|0|箔|铝制|有衬背|2cm*3cm*0.01cm|轧制|无进一步加工,
23,BON-FUN,HA*1 90/14,8452300000,缝纫机针,0|2|适用于BT005等家用缝纫机|无品牌|14号,
24,BON-FUN,PACKING MACHINE,8422309090,包装机,0|0|产品包装封口用|无品牌|ACW-88,
25,BON-FUN,SEWING KIT,3923100090,缝纫附件盒,0|2|装缝纫配件|塑料|非半导体晶圆、掩模或光罩用|非半导体晶圆、掩模或光罩用|无品牌|无型号,
26,,STAMPING MACHINE,8464102000,打头机,0|0|用于钢丝切�|钢丝切�|钢丝|无品牌|无型号,
27,BON-FUN,THREADER,8205510000,穿线器,0|2|家用针孔中穿线用|铝|非成套|无品牌|无型号,
28,,PUNCHING MACHINE,8462199000,�压机,0|0|钢丝�压成型|�压|手动|无品牌|无型号|非ECFA和中韩自贸协定项下进口数控机床,原hs：8462101000
29,,LATHE,8458190000,车床,0|0|切削加工金属|手动|水平|无品牌|无型号|非ECAA和中韩自贸协定项下进口数控机床,
30,BON-FUN,SEAM RIPPER 112R CAP,3926909090,拆线刀套,0|2|家用|塑料|无品牌|112R,
31,BON-FUN,SEAM RIPPER 112RA COVER,3926909090,拆线刀塑料套,0|2|家用|塑料|无品牌|无型号,
32,BON-FUN,SEAM RIPPER 112RA HANDLE,3926909090,拆线刀塑料柄,0|2|家用|塑料|无品牌|无型号,
33,BON-FUN,109R HOLDER,3926909090,拆线刀柄,0|2|家用|塑料|无品牌|无型号,
34,BON-FUN,SEAM RIPPER 112RA HOLDER,8205510000,拆线刀,0|2|家用缝纫机用|塑料+72B钢|非成套|无品牌|112RA,
